
3.267897999999  SN.node[7].Communication.MAC              TESTE: 7,0/-78.623042,1/-83.982445,5/-83.401756,9/-84.215437,24/-81.215820,33/-80.799386,34/-77.713280,35/-82.074475,37/-85.558178,39/-80.670208;
3.267897999999  SN.node[8].Communication.MAC             FORMATION_PACKET recebido de 0
3.267897999999  SN.node[8].Communication.MAC             O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[9].Communication.MAC             FORMATION_PACKET recebido de 0
3.267897999999  SN.node[9].Communication.MAC              TESTE: 9,0/-79.281237,1/-83.982362,5/-81.801598,7/-84.164528,22/-82.923248,25/-82.591995,27/-79.329199,28/-72.005237,31/-86.105824,40/-82.625038;
3.267897999999  SN.node[10].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[10].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[11].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[11].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[12].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[12].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[13].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[13].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[15].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[15].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[16].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[16].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[17].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[17].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[18].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[18].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[19].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[19].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[20].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[20].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[21].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[21].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[22].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[22].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[23].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[23].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[24].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[24].Communication.MAC             TESTE: 24,0/-84.586487,1/-85.169058,7/-81.140488,12/-85.004221,33/-55.617135,34/-69.022561,35/-78.326234,37/-78.399142,39/-84.766426,50/-82.687050;
3.267897999999  SN.node[25].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[25].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[26].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[26].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[27].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[27].Communication.MAC             TESTE: 27,0/-83.387352,1/-83.761845,2/-85.135796,4/-84.246072,8/-81.201933,9/-79.365562,22/-70.669949,28/-73.102560,42/-84.333389,48/-83.870442;
3.267897999999  SN.node[28].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[28].Communication.MAC             TESTE: 28,0/-79.516745,1/-82.252497,4/-84.465073,5/-85.210276,8/-84.971765,9/-72.017964,22/-79.127899,25/-84.793677,27/-73.101529,42/-85.356987;
3.267897999999  SN.node[29].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[29].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[30].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[30].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[31].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[31].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[32].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[32].Communication.MAC            O nodo 0 nao esta na minha tabela.
3.267897999999  SN.node[33].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[33].Communication.MAC             TESTE: 33,0/-84.693604,7/-80.781204,17/-85.326469,24/-55.624205,34/-66.950794,35/-79.245272,37/-77.808812,39/-84.199480,50/-83.428141;
3.267897999999  SN.node[34].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[34].Communication.MAC             TESTE: 34,0/-83.383308,1/-85.130283,7/-77.713280,24/-69.020288,33/-66.918976,35/-79.554959,37/-79.794172,39/-82.426104,50/-84.466904;
3.267897999999  SN.node[35].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[35].Communication.MAC             TESTE: 35,0/-80.882398,1/-78.532146,4/-83.205795,7/-82.060333,16/-82.184138,24/-78.291992,33/-79.182495,34/-79.562030,50/-77.385786;
3.267897999999  SN.node[37].Communication.MAC            FORMATION_PACKET recebido de 0
3.267897999999  SN.node[37].Communication.MAC            O nodo 0 nao esta na minha tabela.
